_id,Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
336,2299,Club Campestre, -, -, -, -, -,1,11,6
337,5197,Ciudad Meléndez -  Las Vegas, -,49, -,7,6, -, -,2
338,5294,Parcelación Andalucía, -, -, -,26,2, -,30,4
339,5295,Piedra Grande, -, -, -,30,2,4,90,4
340,5399,Pance Suburbano, -, -, -, -,4,56,181,6
341,5410,La Riverita, -,-,-,-, -,34,5,6
342,5486,La Luisa,1,5,20,10, -, -,8,3
343,5487,La Sirena,47,30, -,1, -,-,22,1
344,5488,Bella Suiza,6,12, -,6,1,1,8,2
345,5492,Parque de la Bandera,122, -, -, -, -, -,89,1
346,5607,El Mango - La Reforma,"",19, -, -, -, -,7,2
347,-,Comuna 1,653,350,4,5,1,6,169,1
348,-,Comuna 2,114,33,279,895,890,212,1221,4
349,-,Comuna 3,60,146,746,27,51,1,531,3
350,-,Comuna 4,62,762,714,2,0,0,599,2
351,-,Comuna 5,0,37,"1,400",35,0,0,1296,3
352,-,Comuna 6,113,"1,932",273,0,0,0,1364,2
353,-,Comuna 7,108,625,770,1,0,0,652,3
354,-,Comuna 8,0,343,"1,875",0,0,0,443,3
355,-,Comuna 9,130,257,915,0,0,0,246,3
356,-,Comuna 10,0,120,"1,609",309,3,0,338,3
357,-,Comuna 11,5,539,"1,387",0,0,0,336,3
358,-,Comuna 12,0,551,730,0,0,0,191,3
359,-,Comuna 13,772,"1,978",313,0,0,0,927,2
360,-,Comuna 14,"2,324",881,0,0,0,0,1164,1
361,-,Comuna 15,959,"1,119",423,0,0,0,1006,2
362,-,Comuna 16,100,"1,506",3,166,0,0,381,2
363,-,Comuna 17,0,4,177,627,920,98,1284,5
364,-,Comuna 18,932,570,564,25,6,0,504,1
365,-,Comuna 19,34,112,93,"1,127",743,114,824,4
366,-,Comuna 20,"1,494",238,55,0,0,0,530,1
367,-,Comuna 21,"1,903",541,0,0,0,0,1705,1
368,-,Comuna 22,0,13,0,1,28,378,332,6
369,-,Otros,176,115,20,80,15,95,440,1
